location,route,direction,distance,level,year,month,week,day_night,hour,weather,age,gender,cause_L,cause_S,pattern,pave,dir_curv,slope,surface_condition,pavment_condition,car_type,car_standard,최초사고지점_도로시설,지점명,dead,injury,acc_cars,defeat,state,arrive_time,ambulance_arrive_time,people_rescue_time,towtruck_arrive_time,rescue_time,block_time,handling_time,damage,danger_point
동서울지사,서울외곽순환,일산,6.6,C,2005,12,목요일,주간,15,흐림,20,남자,운전자과실,주시태만,차-시설,콘크리트,직선,내리막 3% 미만,건조,양호,승용(JEEP),,TG,청계,0,0,1,2,2,8,0,0,0,0,20,20,620000,85
인천지사,서울외곽순환,일산,37.8,C,2005,12,금요일,야간,21,흐림,30,남자,차량결함,엔진과열,단독,아스팔트,직선,평탄,건조,양호,승용(JEEP),,본선,본선,0,0,1,0,2,5,0,0,0,0,74,75,0,55
동서울지사,서울외곽순환,일산,6.8,B,2005,12,토요일,야간,20,맑음,30,남자,운전자과실,주시태만,추돌,콘크리트,직선,평탄,건조,양호,승용(자가),,TG,청계,0,0,2,4,2,0,0,0,0,0,26,26,0,140
인천지사,서울외곽순환,일산,86.2,C,2006,1,토요일,야간,1,흐림,40,남자,운전자과실,통행위반,차-시설,아스팔트,직선,평탄,건조,양호,승용(JEEP),,램프,중동I/C 진입램프,0,0,2,2,1,5,0,0,0,0,10,25,598000,95
인천지사,서울외곽순환,일산,83.8,C,2006,2,월요일,주간,13,맑음,40,남자,기타,기타,차-시설,아스팔트,우커브 500 이상,오르막 3% 미만,건조,양호,화물(중형),5톤,교량,서운JC램프(서울~일산),0,0,1,1,3,22,0,0,0,0,115,115,1505000,85
인천지사,서울외곽순환,일산,76.4,C,2006,2,목요일,주간,7,맑음,40,남자,운전자과실,기타,단독,콘크리트,직선,평탄,건조,양호,화물(중형),5톤,TG,김포요금소,0,0,1,2,1,110,0,0,0,0,0,110,544500,70
인천지사,서울외곽순환,일산,84.6,B,2006,2,일요일,주간,10,맑음,30,남자,운전자과실,핸들과대조작,추돌,아스팔트,직선,평탄,건조,양호,승합(소형),7인승,본선,본선,1,0,3,4,3,10,0,0,0,0,80,90,0,280
인천지사,서울외곽순환,일산,84.8,C,2006,2,목요일,야간,0,맑음,20,남자,운전자과실,핸들과대조작,차-시설,아스팔트,직선,평탄,건조,양호,승용(자가),,본선,본선,0,0,1,2,1,12,0,0,0,0,15,25,1487250,70
인천지사,서울외곽순환,일산,77.3,C,2006,4,화요일,주간,7,맑음,30,여자,운전자과실,핸들과대조작,차-시설,아스팔트,직선,평탄,건조,양호,승용(자가),,본선,본선,0,0,2,3,3,14,0,0,0,0,20,34,815250,140
인천지사,서울외곽순환,일산,86.4,C,2006,4,월요일,주간,17,맑음,30,남자,기타,노면잡물,차-시설,아스팔트,직선,내리막 3% 미만,건조,양호,승용(자가),,교량,중동ic진출램프,0,0,1,2,1,0,0,0,0,0,0,35,986000,70
인천지사,서울외곽순환,일산,70,C,2006,5,수요일,주간,13,맑음,20,남자,운전자과실,졸음,차-시설,아스팔트,직선,평탄,건조,양호,화물(소형),1톤,램프,일산IC램프(판교~일산),0,1,1,1,1,10,0,0,0,0,0,40,836000,85
인천지사,서울외곽순환,일산,75.6,C,2006,6,수요일,야간,5,맑음,0,남자,차량결함,타이어 파손,차-시설,아스팔트,우커브 500 미만,오르막 3% 미만,건조,양호,트레일러,27톤,램프,일산 방면 진입램프,0,0,1,1,3,10,0,0,0,0,0,120,1924500,85
인천지사,서울외곽순환,일산,93.7,C,2006,7,금요일,야간,2,비,30,남자,운전자과실,기타,단독,콘크리트,직선,내리막 3% 미만,습기,양호,승용(자가),,본선,본선,0,1,1,2,1,20,0,0,0,0,23,45,2774600,100
인천지사,서울외곽순환,일산,89.1,C,2006,8,목요일,야간,0,맑음,30,남자,운전자과실,음주,차-시설,아스팔트,직선,내리막 3% 미만,건조,양호,승용(JEEP),,본선,본선,0,0,1,1,1,12,0,0,0,0,15,31,621300,55
인천지사,서울외곽순환,일산,80.3,C,2006,8,수요일,야간,1,맑음,20,남자,운전자과실,음주,단독,아스팔트,좌커브 500 이상,평탄,건조,양호,승용(자가),,본선,본선,0,0,1,1,1,5,0,0,0,0,17,20,1794000,55
인천지사,서울외곽순환,일산,91.7,C,2006,8,화요일,주간,10,맑음,50,남자,운전자과실,핸들과대조작,차-시설,아스팔트,직선,평탄,습기,양호,승용(JEEP),,본선,본선,0,0,1,2,1,5,0,0,0,0,0,40,1007000,70
인천지사,서울외곽순환,일산,83.2,C,2006,9,수요일,주간,14,맑음,40,남자,운전자과실,핸들과대조작,접촉,아스팔트,직선,평탄,건조,양호,화물(소형),1톤,본선,본선,0,0,2,3,3,6,0,0,0,0,34,40,653760,140
인천지사,서울외곽순환,일산,76,C,2006,10,일요일,야간,20,맑음,40,남자,운전자과실,주시태만,단독,콘크리트,직선,평탄,건조,양호,승용(JEEP),,TG,김포톨게이트,0,0,1,2,1,5,0,0,0,0,25,25,2420000,70
인천지사,서울외곽순환,일산,91.2,C,2006,10,수요일,주간,7,흐림,40,남자,차량결함,타이어 파손,차-시설,콘크리트,우커브 500 이상,오르막 3% 미만,건조,양호,화물(소형),1톤,본선,본선,0,0,1,1,3,4,0,0,0,0,45,46,800000,85
인천지사,서울외곽순환,일산,70,C,2006,10,일요일,주간,9,안개,30,여자,운전자과실,기타,차-시설,아스팔트,좌커브 500 이상,내리막 3% 미만,건조,양호,승용(자가),,램프,일산IC진출부,0,0,1,2,1,8,0,0,0,0,0,35,570000,70
인천지사,서울외곽순환,일산,77.5,C,2006,11,목요일,야간,4,맑음,30,남자,운전자과실,졸음,추돌,아스팔트,직선,평탄,건조,양호,화물(중형),3.5톤,본선,본선,0,0,2,2,1,10,0,0,0,0,0,380,684760,95
인천지사,서울외곽순환,일산,73.6,C,2006,11,일요일,야간,19,맑음,20,여자,운전자과실,핸들과대조작,추돌,아스팔트,직선,평탄,건조,양호,승용(자가),,본선,본선,0,0,2,2,5,8,0,0,0,0,30,35,1543100,155
인천지사,서울외곽순환,일산,82.2,C,2006,11,월요일,야간,23,맑음,40,남자,운전자과실,과속,차-시설,아스팔트,좌커브 500 미만,내리막 3% 이상,건조,양호,승용(JEEP),,램프,계양IC,0,0,1,1,1,5,0,0,0,0,15,20,1052000,55
인천지사,서울외곽순환,일산,79.6,B,2006,12,월요일,야간,19,맑음,30,남자,운전자과실,주시태만,차-사람,아스팔트,우커브 500 미만,평탄,건조,양호,화물(소형),1톤,본선,본선,1,0,3,4,1,3,0,0,0,0,40,50,0,250
동서울지사,서울외곽순환,일산,117,C,2006,5,월요일,야간,23,맑음,40,남자,운전자과실,안전거리미확보,차-시설,아스팔트,직선,내리막 3% 미만,건조,양호,화물(소형),1톤,본선,본선,0,1,2,3,3,0,0,0,0,0,55,55,321400,170
동서울지사,서울외곽순환,일산,121.4,C,2006,8,화요일,주간,13,맑음,30,남자,운전자과실,주시태만,차-시설,아스팔트,직선,평탄,건조,양호,특수차량,,TG,청계영업소,0,0,1,2,1,8,0,0,0,0,5,8,414000,70
동서울지사,서울외곽순환,일산,121.4,C,2006,8,수요일,주간,7,맑음,40,남자,운전자과실,주시태만,차-시설,아스팔트,직선,평탄,건조,양호,승용(자가),,TG,청계영업소,0,0,1,2,1,4,0,0,0,0,6,6,2859300,70
동서울지사,서울외곽순환,일산,121.4,C,2006,8,수요일,야간,22,맑음,50,여자,운전자과실,주시태만,차-시설,콘크리트,직선,평탄,건조,양호,승용(자가),,휴게소,청계업업소,0,0,1,2,1,30,0,0,0,0,10,30,1300000,70
동서울지사,서울외곽순환,일산,121.3,C,2006,10,금요일,주간,14,맑음,0,남자,운전자과실,안전거리미확보,추돌,콘크리트,직선,평탄,건조,양호,승용(영업),,TG,청계T/G,0,0,4,8,1,15,0,0,0,0,20,20,0,235
동서울지사,서울외곽순환,일산,124.4,C,2006,10,목요일,야간,5,맑음,30,남자,운전자과실,졸음,추돌,아스팔트,직선,평탄,건조,양호,승용(자가),,본선,본선,0,0,2,2,1,6,0,0,0,0,24,24,1587600,95
동서울지사,서울외곽순환,일산,115.6,B,2006,11,목요일,야간,6,비,0,남자,운전자과실,주시태만,차-사람,콘크리트,직선,평탄,습기,양호,승용(자가),,본선,본선,1,0,2,2,1,40,0,0,0,0,25,50,0,195
시흥지사,서울외곽순환,일산,104.8,C,2006,2,화요일,주간,8,눈,40,남자,운전자과실,과속,단독,아스팔트,우커브 500 미만,오르막 3% 미만,적설,양호,승용(자가),,본선,본선,0,0,1,1,1,5,0,0,0,0,0,20,3303300,55
